序号,基金代码,基金简称,期间涨幅,期间分红(元/份),分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
1,007189,南华价值启航纯债,145.48%,0.0400,1,2021-10-18,1.0238,1.0538,2022-10-18,2.4172,2.4872,2019-11-22,--
2,007190,南华价值启航纯债,144.82%,0.0400,1,2021-10-18,1.0398,1.0698,2022-10-18,2.4498,2.5198,2019-11-22,0.00%
3,004685,金元顺安元启灵活,45.65%,---,0,2021-10-18,2.2936,2.2936,2022-10-18,3.3406,3.3406,2017-11-14,0.15%
4,005513,南华瑞恒中短债债,42.87%,0.2310,4,2021-10-18,1.0232,1.0232,2022-10-18,1.2300,1.4610,2019-01-29,0.04%
5,005514,南华瑞恒中短债债,42.52%,0.2310,4,2021-10-18,1.0254,1.0254,2022-10-18,1.2297,1.4607,2019-01-29,0.00%
6,012928,银华中证光伏ET,31.80%,---,0,2022-04-20,1.0000,1.0000,2022-10-18,1.3180,1.3180,2022-04-20,0.12%
7,012929,银华中证光伏ET,31.64%,---,0,2022-04-20,1.0000,1.0000,2022-10-18,1.3164,1.3164,2022-04-20,0.00%
8,014412,招商核心竞争力混,21.01%,---,0,2022-04-13,1.0000,1.0000,2022-10-18,1.2101,1.2101,2022-04-13,0.15%
9,014413,招商核心竞争力混,20.52%,---,0,2022-04-13,1.0000,1.0000,2022-10-18,1.2052,1.2052,2022-04-13,0.00%
10,014834,汇添富盈鑫混合D,18.86%,---,0,2022-01-17,1.8350,1.8350,2022-10-18,2.1810,2.1810,2022-01-17,--
11,012963,招商稳健平衡混合,18.82%,---,0,2021-10-19,1.0000,1.0000,2022-10-18,1.1882,1.1882,2021-10-19,0.15%
12,014833,汇添富盈鑫混合C,18.64%,---,0,2022-01-17,1.8350,1.8350,2022-10-18,2.1770,2.1770,2022-01-17,0.00%
13,012964,招商稳健平衡混合,17.99%,---,0,2021-10-19,1.0000,1.0000,2022-10-18,1.1799,1.1799,2021-10-19,0.00%
14,159930,汇添富中证能源E,16.98%,---,0,2021-10-18,1.0264,1.0264,2022-10-18,1.2007,1.2007,2013-08-23,--
15,015710,华夏高端装备龙头,16.31%,---,0,2022-05-25,1.0000,1.0000,2022-10-18,1.1631,1.1631,2022-05-25,0.15%
16,010509,中银彭博政策性银,16.30%,0.0100,1,2021-10-18,1.0098,1.0123,2022-10-18,1.1629,1.1754,2021-03-11,0.05%
17,015711,华夏高端装备龙头,16.13%,---,0,2022-05-25,1.0000,1.0000,2022-10-18,1.1613,1.1613,2022-05-25,0.00%
18,001743,诺安优选回报混合,16.07%,---,0,2021-10-18,1.5310,1.7810,2022-10-18,1.7770,2.0270,2016-09-22,0.15%
19,015773,招商移动互联网产,15.17%,---,0,2022-05-13,1.1981,1.1981,2022-10-18,1.3798,1.3798,2022-05-13,0.00%
20,014414,招商中证畜牧养殖,14.79%,---,0,2022-04-19,1.0000,1.0000,2022-10-18,1.1479,1.1479,2022-04-19,0.12%
21,014415,招商中证畜牧养殖,14.46%,---,0,2022-04-19,1.0000,1.0000,2022-10-18,1.1446,1.1446,2022-04-19,0.00%
22,002420,汇添富盈鑫混合A,14.11%,---,0,2021-10-18,1.9140,1.9140,2022-10-18,2.1840,2.1840,2016-03-11,0.12%
23,470021,汇添富优选回报灵,13.61%,---,0,2021-10-18,2.1670,2.1670,2022-10-18,2.4620,2.4620,2013-01-24,0.15%
24,002418,汇添富优选回报灵,13.10%,---,0,2021-10-18,2.1530,2.1530,2022-10-18,2.4350,2.4350,2016-02-03,0.00%
25,005505,前海开源中药股票,12.78%,---,0,2021-10-18,1.9247,1.9247,2022-10-18,2.1707,2.1707,2018-03-21,0.15%
26,005506,前海开源中药股票,12.49%,---,0,2021-10-18,1.9130,1.9130,2022-10-18,2.1520,2.1520,2018-03-21,0.00%
27,519519,华泰柏瑞稳本增利,12.48%,0.0663,1,2021-10-18,1.0545,1.5803,2022-10-18,1.1124,1.7045,2006-04-13,0.08%
28,014508,汇添富先进制造混,12.42%,---,0,2022-03-02,1.0000,1.0000,2022-10-18,1.1242,1.1242,2022-03-02,0.15%
29,014509,汇添富先进制造混,12.16%,---,0,2022-03-02,1.0000,1.0000,2022-10-18,1.1216,1.1216,2022-03-02,0.00%
30,460003,华泰柏瑞稳本增利,12.13%,0.0603,1,2021-10-18,1.0463,1.5304,2022-10-18,1.1063,1.6507,2007-12-03,0.00%
31,015592,国泰事件驱动策略,12.04%,---,0,2022-05-20,4.8594,4.8594,2022-10-18,5.4445,5.4445,2022-05-20,0.00%
32,161032,富国中证煤炭指数,11.88%,---,0,2021-10-18,1.8440,1.2850,2022-10-18,2.0630,1.4370,2015-06-19,0.00%
33,013275,富国中证煤炭指数,11.66%,---,0,2021-10-18,1.8440,1.8440,2022-10-18,2.0590,2.0590,2021-08-19,0.00%
34,159645,富国国证疫苗与生,11.31%,---,0,2022-09-16,0.9982,0.9982,2022-10-18,1.1111,1.1111,2022-09-16,--
35,013788,华泰柏瑞信用增利,11.30%,---,0,2021-10-18,1.2407,1.2407,2022-10-18,1.3809,1.3809,2021-10-11,0.00%
36,164606,华泰柏瑞信用增利,11.27%,---,0,2021-10-18,1.2404,1.4339,2022-10-18,1.3802,1.5737,2011-09-22,0.08%
37,516670,招商中证畜牧养殖,10.78%,---,0,2021-10-18,0.8303,0.8303,2022-10-18,0.9198,0.9198,2021-03-18,--
38,560080,汇添富中证中药E,10.69%,---,0,2022-09-26,1.0000,1.0000,2022-10-18,1.1069,1.1069,2022-09-26,--
39,015686,富国新兴产业股票,10.62%,---,0,2022-06-16,1.7610,1.7610,2022-10-18,1.9480,1.9480,2022-06-16,0.00%
40,014611,富国核心科技12,10.39%,---,0,2022-01-28,1.0000,1.0000,2022-10-18,1.1039,1.1039,2022-01-28,0.15%
41,008731,招商添浩纯债A,10.38%,---,0,2021-10-18,0.9900,0.9900,2022-10-18,1.0928,1.0928,2020-09-10,0.08%
42,014038,交银启诚混合A,10.23%,---,0,2021-12-08,1.0000,1.0000,2022-10-18,1.1023,1.1023,2021-12-08,0.15%
43,015687,银华乐享混合C,10.23%,---,0,2022-05-16,0.8348,0.8348,2022-10-18,0.9202,0.9202,2022-05-16,0.00%
44,014014,招商臻选平衡混合,10.21%,---,0,2022-01-05,1.0000,1.0000,2022-10-18,1.1021,1.1021,2022-01-05,0.15%
45,015068,华夏圆和混合C,10.19%,---,0,2022-02-22,1.0746,1.0746,2022-10-18,1.1841,1.1841,2022-02-22,0.00%
46,008732,招商添浩纯债C,10.12%,---,0,2021-10-18,0.9953,0.9953,2022-10-18,1.0960,1.0960,2020-09-10,0.00%
47,013842,银华新锐成长混合,10.05%,---,0,2022-03-31,1.0000,1.0000,2022-10-18,1.1005,1.1005,2022-03-31,0.15%
48,014612,富国核心科技12,9.91%,---,0,2022-01-28,1.0000,1.0000,2022-10-18,1.0991,1.0991,2022-01-28,0.00%
49,159625,嘉实国证绿色电力,9.67%,---,0,2022-04-21,1.0000,1.0000,2022-10-18,1.0967,1.0967,2022-04-21,--
50,015585,国泰优势行业混合,9.65%,---,0,2022-05-17,1.9108,1.9108,2022-10-18,2.0951,2.0951,2022-05-17,0.00%
51,005505,前海开源中药股票,12.78%,---,0,2021-10-18,1.9247,1.9247,2022-10-18,2.1707,2.1707,2018-03-21,0.15%
52,014327,格林新兴产业混合,12.76%,---,0,2022-03-08,1.0000,1.0000,2022-10-18,1.1276,1.1276,2022-03-08,0.15%
53,005506,前海开源中药股票,12.49%,---,0,2021-10-18,1.9130,1.9130,2022-10-18,2.1520,2.1520,2018-03-21,0.00%
54,015850,农银行业轮动混合,12.48%,---,0,2022-05-26,6.3622,6.3622,2022-10-18,7.1564,7.1564,2022-05-26,0.00%
55,519519,华泰柏瑞稳本增利,12.48%,0.0663,1,2021-10-18,1.0545,1.5803,2022-10-18,1.1124,1.7045,2006-04-13,0.08%
56,014508,汇添富先进制造混,12.42%,---,0,2022-03-02,1.0000,1.0000,2022-10-18,1.1242,1.1242,2022-03-02,0.15%
57,014328,格林新兴产业混合,12.40%,---,0,2022-03-08,1.0000,1.0000,2022-10-18,1.1240,1.1240,2022-03-08,0.00%
58,014509,汇添富先进制造混,12.16%,---,0,2022-03-02,1.0000,1.0000,2022-10-18,1.1216,1.1216,2022-03-02,0.00%
59,460003,华泰柏瑞稳本增利,12.13%,0.0603,1,2021-10-18,1.0463,1.5304,2022-10-18,1.1063,1.6507,2007-12-03,0.00%
60,015592,国泰事件驱动策略,12.04%,---,0,2022-05-20,4.8594,4.8594,2022-10-18,5.4445,5.4445,2022-05-20,0.00%
61,015576,泰达宏利绩优混合,11.99%,---,0,2022-06-10,1.7196,1.7196,2022-10-18,1.9258,1.9258,2022-06-10,0.00%
62,015059,华夏产业升级混合,11.96%,---,0,2022-02-22,1.9069,1.9069,2022-10-18,2.1350,2.1350,2022-02-22,0.00%
63,013502,易方达中证内地低,11.95%,---,0,2022-04-07,1.0000,1.0000,2022-10-18,1.1195,1.1195,2022-04-07,0.12%
64,015722,长城中小盘成长混,11.94%,---,0,,---,---,,---,---,2022-05-13,0.00%
65,161032,富国中证煤炭指数,11.88%,---,0,2021-10-18,1.8440,1.2850,2022-10-18,2.0630,1.4370,2015-06-19,0.00%
66,014913,博时研究回报混合,11.69%,---,0,2022-03-15,1.0000,1.0000,2022-10-18,1.1169,1.1169,2022-03-15,0.15%
67,013503,易方达中证内地低,11.68%,---,0,2022-04-07,1.0000,1.0000,2022-10-18,1.1168,1.1168,2022-04-07,0.00%
68,013275,富国中证煤炭指数,11.66%,---,0,2021-10-18,1.8440,1.8440,2022-10-18,2.0590,2.0590,2021-08-19,0.00%
69,159645,富国国证疫苗与生,11.31%,---,0,2022-09-16,0.9982,0.9982,2022-10-18,1.1111,1.1111,2022-09-16,--
